BoroCT2010,RE80_Quad,IE80_Quad,CE80_Quad,RE90_Quad,IE90_Quad,CE90_Quad,RE00_Quad,IE00_Quad,CE00_Quad,RE10_Quad,IE10_Quad,CE10_Quad,RE11_Quad,IE11_Quad,CE11_Quad,RE12_Quad,IE12_Quad,CE12_Quad,RE13_Quad,IE13_Quad,CE13_Quad,RE14_Quad,IE14_Quad,CE14_Quad,RE15_Quad,IE15_Quad,CE15_Quad,RE16_Quad,IE16_Quad,CE16_Quad
5000900,1,3,3,1,3,3,1,3,3,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
1009800,0,3,3,0,3,3,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3
1010000,0,3,3,0,3,3,0,3,3,0,0,4,0,4,4,0,0,4,4,4,4,4,3,3,3,3,3,3,3,3
1010200,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,0,3,0,0,3,0,0,3,3,3,3,3,3,3
1010400,0,3,3,0,3,3,0,3,3,0,4,4,0,4,4,0,0,4,3,3,3,4,4,3,0,3,3,0,3,3
1011300,1,3,3,1,3,3,1,3,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1011402,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,3
1013000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1014000,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3
1014801,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,3
1018400,0,3,3,0,3,3,0,3,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
1019000,3,3,3,0,3,3,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
1020600,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1024900,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025300,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026100,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026300,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026700,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026900,1,3,3,0,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1027700,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000501,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002000,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,0,0,0,0
3004100,1,3,3,1,3,3,1,3,3,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3005800,3,3,3,3,3,3,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3006000,3,3,3,3,3,3,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3006700,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3
3006900,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3
3007400,1,3,3,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3007600,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3007800,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008000,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,4,3,0,0
3009800,0,3,3,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010100,0,3,3,0,3,3,0,3,3,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0
3010200,1,3,3,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010400,0,3,3,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010800,0,3,3,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3011000,1,3,3,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3011400,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3012801,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
3013000,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
3013200,3,3,3,0,3,3,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
3013300,1,3,3,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3013600,3,3,3,3,3,3,0,3,3,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1
3013700,1,3,3,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3013900,1,3,3,1,3,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3015100,1,3,3,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3015300,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
3015500,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3
3015700,1,3,3,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3
3017000,3,3,3,3,3,3,3,3,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3017800,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1
3018600,3,3,3,3,3,3,0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
3018800,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
3019000,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
3019200,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,0
3019400,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3019500,1,3,3,1,3,3,1,3,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
3019600,3,3,3,3,3,3,0,3,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
3019700,0,3,3,0,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
3019800,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
3020400,3,3,3,3,3,3,3,3,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
3020800,3,3,3,3,3,3,0,3,3,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
3021000,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3021200,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3021400,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
3021900,0,3,3,3,3,3,3,3,3,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
